Player,QO,Length,Total,AAV,Year,,,
Merrill Kelly,0,2,18000000,9000000,2023,,,
Adam Wainwright,0,1,17500000,17500000,2023,,,
Lance McCullers,0,5,85000000,17000000,2022,,,
Lance Lynn,0,2,38000000,19000000,2022,,,
Charlie Morton,0,1,20000000,20000000,2022,,,
Adam Wainwright,0,1,17500000,17500000,2022,,,
Corbin Burnes,0,6,210000000,35000000,2025,,,
Walker Buehler,0,1,21500000,21500000,2025,,,
Patrick Sandoval,0,2,18250000,9125000,2025,,,
Sean Manaea,0,3,75000000,25000000,2025,,,
